size, interior, exchange, total
1000, 0.407, 0.032, 0.455
1000, 0.402, 0.030, 0.452
1000, 0.408, 0.029, 0.458
1000, 0.390, 0.040, 0.446
1000, 0.420, 0.032, 0.472
1500, 2.251, 0.237, 2.530
1500, 2.199, 0.275, 2.513
1500, 2.212, 0.182, 2.432
1500, 2.344, 0.096, 2.482
1500, 2.103, 0.105, 2.244
2000, 4.369, 0.238, 4.659
2000, 4.337, 0.227, 4.615
2000, 4.357, 0.224, 4.631
2000, 4.059, 0.373, 4.476
2000, 4.561, 0.190, 4.804
2500, 6.507, 0.257, 6.819
2500, 6.127, 0.417, 6.591
2500, 6.413, 0.358, 6.818
2500, 6.296, 0.409, 6.753
2500, 5.896, 0.674, 6.613
3000, 8.242, 1.161, 9.433
3000, 7.460, 1.856, 9.343
3000, 7.929, 1.195, 9.159
3000, 7.593, 1.642, 9.261
3000, 8.192, 1.162, 9.387
4000, 15.758, 0.597, 16.399
4000, 15.871, 0.576, 16.493
4000, 15.741, 0.577, 16.362
size, interior, exchange, total
1000, 
1000, 0.435, 0.035, 0.497
1000, 0.445, 0.030, 0.502
1000, 0.464, 0.033, 0.522
1000, 0.438, 0.048, 0.512
1500, 1.990, 0.422, 2.452
1500, 1.867, 0.423, 2.330
1500, 2.020, 0.347, 2.401
1500, 1.991, 0.434, 2.461
1500, 2.121, 0.306, 2.465
2000, 3.325, 0.921, 4.277
2000, 3.417, 0.711, 4.168
2000, 3.644, 0.689, 4.373
2000, 3.510, 0.790, 4.334
2000, 3.677, 0.711, 4.433
2500, 5.378, 1.206, 6.639
2500, 5.267, 1.305, 6.620
2500, 5.009, 1.590, 6.659
2500, 5.715, 0.909, 6.669
2500, 3.416, 2.985, 6.431
3000, 7.697, 1.638, 9.370
3000, 5.347, 3.881, 9.262
3000, 7.067, 2.046, 9.145
3000, 5.619, 3.541, 9.191
3000, 5.330, 3.871, 9.233
4000, 10.099, 5.996, 16.137
4000, 14.189, 2.075, 16.299
4000, 12.219, 3.972, 16.235
4000, 13.790, 2.472, 16.298
4000, 13.583, 2.686, 16.305
5000, 21.421, 3.973, 25.436
5000, 20.793, 4.548, 25.383
5000, 21.538, 3.861, 25.441
5000, 19.920, 5.099, 25.065
5000, 18.131, 7.147, 25.329
size, interior, exchange, total
1000, 0.344, 0.040, 0.400
1000, 0.345, 0.045, 0.409
1000, 0.349, 0.030, 0.398
1000, 0.336, 0.039, 0.391
1000, 0.348, 0.029, 0.396
1500, 0.957, 0.945, 1.931
1500, 1.240, 0.691, 1.969
1500, 1.218, 0.709, 1.964
1500, 1.265, 0.600, 1.904
1500, 1.386, 0.725, 2.155
2000, 2.745, 1.341, 4.139
2000, 3.002, 1.102, 4.164
2000, 2.991, 1.088, 4.137
2000, 2.923, 1.185, 4.163
2000, 2.736, 1.410, 4.199
2500, 4.568, 1.898, 6.529
2500, 4.593, 1.753, 6.415
2500, 4.704, 1.656, 6.427
2500, 4.671, 1.734, 6.474
2500, 3.692, 2.726, 6.472
3000, 6.878, 2.335, 9.285
3000, 6.778, 2.532, 9.382
3000, 7.088, 2.318, 9.477
3000, 6.887, 2.329, 9.289
3000, 6.886, 2.331, 9.290
4000, 12.112, 4.150, 16.335
4000, 12.205, 4.152, 16.431
4000, 10.048, 6.270, 16.384
4000, 8.720, 7.712, 16.495
4000, 8.412, 7.861, 16.334
5000, 13.293, 12.112, 25.434
5000, 18.734, 6.728, 25.498
5000, 18.554, 6.788, 25.381
5000, 19.004, 6.430, 25.473
5000, 19.126, 6.289, 25.456
size, interior, exchange, total
size, interior, exchange, total
size, interior, exchange, total
1000, 0.348, 0.427, 0.783
1000, 0.348, 0.400, 0.755
1000, 0.349, 0.399, 0.756
1000, 0.344, 0.401, 0.753
1000, 0.345, 0.382, 0.735
1500, 1.202, 0.170, 1.387
1500, 1.188, 0.152, 1.356
1500, 1.211, 0.135, 1.360
1500, 1.194, 0.152, 1.362
1500, 1.200, 0.141, 1.357
2000, 3.474, 0.044, 3.547
2000, 3.424, 0.044, 3.497
2000, 3.447, 0.044, 3.521
2000, 3.447, 0.044, 3.520
2000, 3.463, 0.045, 3.537
2500, 5.363, 0.062, 5.458
2500, 5.355, 0.062, 5.446
2500, 5.357, 0.065, 5.453
2500, 5.335, 0.065, 5.434
2500, 5.330, 0.065, 5.426
3000, 7.717, 0.078, 7.831
3000, 7.685, 0.078, 7.797
3000, 7.667, 0.077, 7.779
3000, 7.678, 0.078, 7.790
3000, 7.731, 0.078, 7.844
4000, 13.568, 0.106, 13.715
4000, 19.364, 0.172, 19.596
4000, 19.063, 0.195, 19.314
4000, 17.124, 0.137, 17.312
4000, 14.777, 0.118, 14.939
5000, 22.012, 0.139, 22.201
5000, 24.181, 0.175, 24.410
5000, 21.248, 0.137, 21.434
5000, 24.090, 0.177, 24.318
5000, 22.993, 0.145, 23.190
size, interior, exchange, total
1000, 0.323, 0.297, 0.634
1000, 0.323, 0.302, 0.640
1000, 0.322, 0.276, 0.611
1000, 0.324, 0.301, 0.640
1000, 0.322, 0.115, 0.449
1500, 0.769, 0.318, 1.107
1500, 0.755, 0.374, 1.150
1500, 0.723, 0.451, 1.194
1500, 0.740, 0.168, 0.925
1500, 0.743, 0.160, 0.919
2000, 1.523, 0.393, 1.941
2000, 1.491, 0.237, 1.756
2000, 1.547, 0.207, 1.777
2000, 1.524, 0.210, 1.766
2000, 1.513, 0.229, 1.769
2500, 2.822, 0.517, 3.370
2500, 2.816, 0.565, 3.412
2500, 2.860, 0.438, 3.339
2500, 2.798, 0.527, 3.355
2500, 2.848, 0.383, 3.271
3000, 4.295, 0.543, 4.882
3000, 4.264, 0.611, 4.922
3000, 4.363, 0.512, 4.922
3000, 4.340, 0.538, 4.917
3000, 4.321, 0.765, 5.122
4000, 7.480, 1.085, 8.614
4000, 7.497, 1.092, 8.628
4000, 7.511, 1.059, 8.614
4000, 7.492, 1.227, 8.765
4000, 7.562, 1.011, 8.619
5000, 11.766, 1.564, 13.350
5000, 11.669, 1.736, 13.424
5000, 11.761, 1.655, 13.435
5000, 11.813, 1.595, 13.425
5000, 11.794, 1.531, 13.343
size, interior, exchange, total
1000, 0.788, 0.060, 0.860
1000, 0.799, 0.025, 0.837
1000, 0.797, 0.024, 0.834
1000, 0.805, 0.022, 0.841
1000, 0.867, 0.023, 0.903
1500, 1.734, 0.041, 1.791
1500, 1.708, 0.038, 1.762
1500, 1.754, 0.035, 1.805
1500, 1.695, 0.035, 1.746
1500, 1.804, 0.037, 1.857
2000, 3.919, 0.062, 4.004
2000, 4.040, 0.063, 4.127
2000, 3.756, 0.054, 3.836
2000, 3.455, 0.057, 3.537
2000, 3.533, 0.054, 3.613
2500, 6.708, 0.080, 6.818
2500, 6.420, 0.077, 6.530
2500, 6.540, 0.104, 6.676
2500, 5.930, 0.077, 6.039
2500, 6.940, 0.084, 7.055
3000, 10.131, 0.101, 10.264
3000, 10.396, 0.099, 10.528
3000, 10.157, 0.105, 10.293
size, interior, exchange, total
1000, 0.336, 0.413, 0.761
1000, 0.334, 0.422, 0.767
1000, 0.336, 0.421, 0.770
1000, 0.334, 0.460, 0.807
1000, 0.336, 0.447, 0.796
1500, 0.733, 0.645, 1.389
1500, 0.731, 0.549, 1.292
1500, 0.734, 0.543, 1.287
1500, 0.733, 0.538, 1.283
1500, 0.735, 0.535, 1.281
2000, 1.452, 0.724, 2.191
2000, 1.566, 0.152, 1.739
2000, 1.460, 0.545, 2.022
2000, 1.501, 0.490, 2.007
2000, 1.451, 0.606, 2.072
2500, 3.286, 0.482, 3.798
2500, 3.271, 0.373, 3.675
2500, 4.148, 0.381, 4.562
2500, 3.587, 0.377, 3.990
2500, 3.172, 0.501, 3.697
3000, 8.531, 0.243, 8.808
3000, 5.146, 0.440, 5.620
3000, 6.976, 0.872, 7.882
3000, 5.909, 1.141, 7.108
3000, 4.776, 0.672, 5.472
4000, 10.487, 0.767, 11.290
4000, 13.476, 0.742, 14.255
4000, 13.272, 0.294, 13.604
4000, 14.075, 0.144, 14.258
4000, 9.851, 0.676, 10.564
5000, 20.994, 0.688, 21.722
5000, 20.171, 1.270, 21.506
5000, 19.671, 0.764, 20.476
5000, 17.535, 0.676, 18.252
5000, 20.798, 0.569, 21.409
size, interior, exchange, total
1000, 0.518, 0.048, 0.583
1000, 0.622, 0.051, 0.696
1000, 0.506, 0.047, 0.568
1000, 0.515, 0.110, 0.645
1000, 0.558, 0.043, 0.621
1500, 0.983, 0.927, 1.929
1500, 0.875, 0.903, 1.798
1500, 0.859, 0.159, 1.040
1500, 0.868, 0.765, 1.652
1500, 0.982, 0.636, 1.639
2000, 1.671, 1.159, 2.858
2000, 1.737, 0.935, 2.701
2000, 1.605, 1.217, 2.851
2000, 1.683, 0.463, 2.171
2000, 1.804, 0.181, 2.015
2500, 3.087, 0.167, 3.294
2500, 3.126, 0.203, 3.366
2500, 3.128, 0.321, 3.478
2500, 3.560, 0.120, 3.721
2500, 3.179, 0.105, 3.325
3000, 4.797, 0.240, 5.082
3000, 5.204, 0.335, 5.577
3000, 4.791, 0.523, 5.356
3000, 4.557, 0.257, 4.847
3000, 4.485, 0.272, 4.792
4000, 8.710, 0.333, 9.082
4000, 10.056, 1.564, 11.664
4000, 9.161, 2.999, 12.204
4000, 8.018, 0.707, 8.762
4000, 7.949, 0.312, 8.297
5000, 12.725, 0.437, 13.181
5000, 12.393, 0.375, 12.789
5000, 12.592, 0.615, 13.226
5000, 12.311, 0.465, 12.796
5000, 12.546, 0.277, 12.843
size, interior, exchange, total
1000, 0.325, 0.509, 0.851
1000, 0.324, 0.427, 0.768
1000, 0.324, 0.432, 0.772
1000, 0.328, 0.496, 0.844
1000, 0.325, 0.429, 0.770
1500, 1.105, 0.316, 1.454
1500, 1.044, 0.328, 1.403
1500, 1.079, 0.365, 1.477
1500, 1.074, 0.414, 1.524
1500, 1.090, 0.348, 1.469
2000, 3.311, 0.254, 3.621
2000, 3.268, 0.226, 3.545
2000, 3.281, 0.219, 3.550
2000, 3.210, 0.314, 3.579
2000, 3.177, 0.344, 3.572
2500, 5.098, 0.464, 5.593
2500, 5.119, 0.383, 5.535
2500, 5.797, 0.217, 6.044
2500, 7.477, 0.646, 8.165
2500, 7.203, 0.426, 7.668
3000, 10.657, 0.682, 11.420
3000, 10.687, 0.771, 11.496
3000, 10.798, 0.403, 11.240
3000, 10.661, 0.409, 11.113
3000, 10.441, 0.481, 10.966
4000, 18.779, 0.469, 19.289
4000, 18.837, 0.429, 19.305
4000, 18.728, 0.623, 19.390
4000, 18.678, 0.496, 19.214
4000, 18.652, 0.381, 19.073
5000, 24.813, 0.457, 25.316
5000, 23.552, 2.364, 25.959
5000, 28.303, 1.231, 29.582
5000, 39.387, 1.507, 40.946
5000, 28.251, 1.669, 29.966
